parksid,block,lotnum,lotsize,areacovered
B024-GT001,2912,1,,
M071-GT001,1254,10,,
B088-GT001,1790,1,,
B245-GT001,1353,1,900,Partial Lot
Q448-GT001,12406,180,,
X179A-GT001,2685,30,,
X179A-GT001,2685,78,,
MGT043,1080,1,,
MGT086,1205,6,,
MGT087,1220,17,,
MGT088,259,44,,
M105-GT002,418,1,,
MGT091,431,14,,
RGT005,569,245,,
M278-GT001,606,1,,
Q470-GT001,638,37,,
BGT123,1552,21,,
BGT129,1670,49,,
MGT051,2045,98,,
MGT056,493,30,,
XGT049,2879,35,,
XGT056,3604,39,,
B523-GT001,7247,240,,
QGT019,9067,1,,
B483-GT001,4007,41,,
B483-GT001,4007,35,,
B483-GT001,4007,34,,
B483-GT001,4007,37,,
B483-GT001,4007,40,,
B483-GT001,4007,38,,
B483-GT001,4007,36,,
BGT099,3543,1,,
RGT008,525,39,,
Q448-GT002,12406,180,,
B058-GT002,2696,1,,
BGT004,927,26,,
BGT005,1622,32,,
Q513-GT001,12035,24,2000,Full Lot
Q513-GT001,12035,24,1058,Full Lot
Q512-GT001,12599,6,4273,Full Lot
BGT001,2099,43,,
MGT002,1711,11,,
MGT003,2074,29,,
M390-GT001,625,34,2164,Full Lot
M313-GT001,387,121,3445,Full Lot
M313-GT001,387,122,4074,Full Lot
X293-GT001,3110,48,,
X293-GT001,3110,49,,
X293-GT001,3110,50,,
X293-GT001,3110,51,,
M330-GT001,1638,50,,
BGT002,1683,90,,
BGT002,1683,91,,
B477-GT001,4046,121,,
B438-GT001,1503,1,1920,Full Lot
B438-GT001,1503,2,1520,Full Lot
B438-GT001,1503,3,1520,Full Lot
B476-GT001,1440,12,8300,Full Lot
XGT001,3156,55,,
M388-GT001,1770,67,,
B448-GT001,1953,68,,
B448-GT001,1953,69,,
B448-GT001,1953,70,,
B448-GT001,1953,170,,
X313-GT001,2618,36,,
X313-GT001,2618,38,,
X313-GT001,2618,39,,
M370-GT001,377,69,,
MGT004,458,40,,
MGT004,458,41,,
B528-GT001,3550,41,4406,Full Lot
B528-GT001,3550,43,,
M367-GT001,1622,50,,
B413-GT001,1535,49,2483,Full Lot
B413-GT001,1535,50,2483,Full Lot
B413-GT001,1535,51,2483,Full Lot
B413-GT001,1535,52,2483,Full Lot
B413-GT001,1535,47,1842,Full Lot
B413-GT001,1535,48,2000,Full Lot
B224A-GT001,1643,1,,
M329-GT001,386,21,,
M329-GT001,386,22,,
B446-GT001,4041,52,,
X326-GT001,3123,74,,
X326-GT001,3123,73,,
X326-GT001,3123,72,,
MGT005,1716,50,,
MGT006,1711,13,,
M408-GT001,344,153,,
M408-GT001,344,158,,
M334-GT001,386,52,,
MGT007,373,58,,
MGT007,373,59,,
BGT003,3433,14,,
B474-GT001,1771,20,,
B474-GT001,1771,21,,
B474-GT001,1771,22,,
B474-GT001,1771,23,,
B474-GT001,1771,24,,
B474-GT001,1771,25,,
B474-GT001,1771,123,,
X298-GT001,2793,14,,
X361-GT002,2979,30,,
X361-GT002,2979,31,,
X361-GT002,2979,33,,
X361-GT002,2979,57,,
X361-GT002,2979,55,,
B544-GT001,1973,38,,
M345-GT001,385,11,,
M345-GT001,385,60,,
XGT002,4901,23,4400,Full Lot
B572-GT001,1791,62,,
B572-GT001,1791,63,,
B572-GT001,1791,64,,
M332-GT001,387,40,,
M337-GT001,406,16,,
M337-GT001,406,17,,
M361-GT001,390,46,,
M374-GT001,1953,28,,
M374-GT001,1953,29,,
M355-GT001,2031,44,,
B532-GT001,1709,22,,
MGT008,1788,30,,
MGT008,1788,31,,
MGT008,1788,32,,
MGT008,1788,34,,
XGT003,3094,63,,
B566-GT001,3556,11,2450,Full Lot
B566-GT001,3556,12,2450,Full Lot
M310-GT001,377,11,,
M310-GT001,377,14,,
M323-GT001,1689,46,,
M323-GT001,1689,47,,
B552-GT001,2382,28,,
B475-GT001,3996,9,,
B475-GT001,3996,11,,
B475-GT001,3996,13,,
B475-GT001,3996,15,,
B462-GT001,4313,57,,
B462-GT001,4313,59,,
B462-GT001,4313,61,,
B462-GT001,4313,62,,
BGT006,1586,41,,
M382-GT001,1616,23,,
B398-GT001,1601,61,,
B398-GT001,1601,62,,
B398-GT001,1601,63,,
B567-GT001,1864,52,2000,Full Lot
B577-GT001,3172,12,,
X277-GT001,2550,32,,
X277-GT001,2550,33,,
X277-GT001,2550,31,,
X277-GT001,2550,35,,
X277-GT001,2550,37,,
B471-GT001,4191,1,1500,Full Lot
B471-GT001,4191,2,1500,Full Lot
B471-GT001,4191,3,1500,Full Lot
B471-GT001,4191,4,1500,Full Lot
B471-GT001,4191,5,1500,Full Lot
B471-GT001,4191,45,1600,Full Lot
B471-GT001,4191,106,2000,Full Lot
B471-GT001,4191,6,2500,Full Lot
B471-GT001,4191,7,2000,Full Lot
B471-GT001,4191,8,2000,Full Lot
B471-GT001,4191,46,1600,Full Lot
B471-GT001,4191,47,1600,Full Lot
B471-GT001,4191,48,1600,Full Lot
M319B-GT001,2053,99,,
X319-GT001,2651,23,,
X319-GT001,2651,27,,
X351-GT001,2418,22,,
B455-GT001,4156,35,,
B561-GT001,1537,29,1427,Full Lot
B561-GT001,1537,30,1427,Full Lot
B561-GT001,1537,31,1550,Full Lot
B561-GT001,1537,32,2288,Full Lot
M359-GT001,394,29,,
XGT004,3097,33,,
M383-GT001,1621,30,,
BGT008,3366,23,,
BGT009,6965,125,,
BGT010,1953,57,,
M392-GT001,1645,51,,
M392-GT001,1645,151,,
M392-GT001,1645,152,,
BGT011,1984,62,,
M339-GT001,406,46,,
B414-GT001,5318,38,8400,Full Lot
M398-GT001,2117,46,1980,Full Lot
Q495-GT001,1711,21,,
X339-GT001,2998,170,,
B421-GT001,1957,21,,
B421-GT001,1957,23,,
BGT012,3322,8,,
BGT013,1952,3,,
B470-GT001,3461,18,,
B470-GT001,3461,19,,
B470-GT001,3461,20,,
M344-GT001,1680,21,,
M298-GT001,1726,14,,
B484-GT001,4014,24,,
B484-GT001,4014,25,,
XGT005,2564,10,,
XGT006,3293,62,,
XGT006,3293,63,,
XGT006,3293,65,,
XGT006,3293,64,,
B047A-GT001,3889,1,17440,
Q505-GT001,15806,1,,
X315-GT001,2761,97,,
X315-GT001,2761,101,,
X315-GT001,2761,102,,
B444-GT001,2417,3,,
B444-GT001,2417,4,,
M340-GT001,2006,18,,
M340-GT001,2006,19,,
BGT014,3043,13,,
BGT014,3043,14,,
X363-GT001,2364,13,,
X363-GT001,2364,15,,
XGT008,2623,58,,
X364-GT001,3540,1,,
MGT010,1638,42,,
MGT010,1638,142,,
M358-GT001,443,53,,
XGT009,2923,12,,
BGT015,387,38,,
BGT015,387,39,,
BGT016,1213,73,,
M333-GT001,2046,49,,
MGT011,2082,127,,
B400-GT001,1789,43,,
B400-GT001,1789,44,,
B400-GT001,1789,47,,
B400-GT001,1789,54,,
B400-GT001,1789,58,,
B400-GT001,1789,59,,
B400-GT001,1789,60,,
B400-GT001,1789,61,,
MGT012,1926,53,,
MGT012,1926,153,,
MGT013,2077,43,,
M293-GT001,401,31,,
M293-GT001,401,33,,
M293-GT001,401,35,,
M293-GT001,401,37,,
M293-GT001,401,38,,
M293-GT001,401,39,,
X358-GT001,2784,4,,
B550-GT001,2436,20,,
B550-GT001,2436,120,,
X346-GT001,3119,50,,
M281-GT001,1057,50,,
XGT010,3078,69,,
X266-GT001,3127,65,,
X266-GT001,3127,67,,
X266-GT001,3127,70,,
B383-GT001,3802,1,,
BGT017,1768,65,,
BGT017,1768,66,,
M368-GT001,1883,28,,
B449-GT001,4075,140,,
M311-GT001,377,18,,
M311-GT001,377,24,,
M311-GT001,377,25,,
M311-GT001,377,22,,
M311-GT001,377,20,,
BGT018,3359,28,,
Q486-GT001,12192,12,,
XGT011,3989,10,1209,Full Lot
B513-GT001,3603,7,6000,Full Lot
BGT019,3682,50,,
XGT012,3021,,,
B526-GT001,4001,2,,
B526-GT001,4001,3,,
B472-GT001,1797,57,2000,Full Lot
XGT013,2432,75,,
M338-GT001,1680,44,,
B549-GT001,1783,4,,
XGT014,2887,12,,
B538-GT001,1663,82,,
B525-GT001,1525,28,,
X328-GT001,2509,44,,
M377-GT001,2046,35,,
BGT020,108,1,,
B511-GT001,3518,1,9292,Full Lot
BGT021,1623,4,,
BGT022,1841,14,,
BGT023,1144,62,,
